S.No,Analysis name,Analysis Objective,Observations/Findings,Business Area,Subject Area,CXA Program,Stakeholder,CXA Owner,Responsible ,Accountable,Consulted,Informed,Contact of Source System,Location ,Date produced,Deployed in Prod,Tags,Parent/Related Story,Note,SQL,Table Used
11,Analysis Deep Dive: rNPSvs Operational Metrics,Understand the impact ofoperational metrics on rNPS andat what time lag,"ATTR and Billing FCR, on average, have a significant and positive impact on rNPS score
• The signs of the two significant coefficients make logical/business sense
• R^2 is low but reasonable, which indicates that ATTR and Billing FCR explain about 33 percent of the variability in rNPS",rNPS,rNPS,CXA,Bryan Kelly,Bryan Kelly,Sam Hopkins,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/7687921549/Shared_Analyses,17-06-2016,,"rNPS,Operational Metrics,time lag,R^2",NA,,,
12,2017 CX Dashboard Metrics:First Time Right using Perfect 90,The objective of a First Time Right (FTR) metric is to determine if we are onboarding our newcustomers successfully.," The 2016 Order to Activate (FTR) metric only looks at ordersplaced via the web for CDV, HSD and X1. The Perfect 90 attainment score provides a morecomplete picture of a person’sonboarding experience. Every Comcast customer is scored dailyon 4 metrics that drive customer perceptions of their experience over the preceding 90 days",Customer,Onboarding,CXA,Bryan Kelly,Bryan Kelly,Sam Hopkins,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/14583784277/1/f_112632493924,,,"First Time Right (FTR) metric, Viewpoint Score,@tenure 90",NA,,,
13,2017 CX Dashboard Metrics:Average Customer Effort Score,The objective is to measure the overall effort score for customers for each fiscal month.,"A customer with no or minimal interactions (e.g., calls, chats, truck rolls, tickets) is experiencing a lower effort level than a customer with multiple interactions. A lower effort level is beneficial from  Comcast perspective (e.g., lower costs) and from a customer perspective (e.g., satisfied).",Customer,Customer Service,CXA,Bryan Kelly,Bryan Kelly,Sam Hopkins,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/14583784277/1/f_112632493924,,,"Customer, Effort Score, Truck Rolls, Calls,Chats,Tickets",,,,
14,2017 CX Dashboard MetricsCustomer Reliability View,The objective is to measure overall Reliability from the customer’s point of view using the various componentsof technical service and repair interactions. ,"It’s best to have no reliability issues or repair interactions, however they can be turned into an opportunity to showcase our best product, Customer Service. Keeping that in mind a contact is not a negative, but getting it right the 1st time is a must, demonstrating how much we value the customertime.        1.Repair ITGs, Repair Calls, Outages and Repair Trucks: The customer had to take time out of their day to interact with Comcast.                                           2.Device Restarts, Speed Tests, Self-Service Repair: A customer is interacting with Comcast, but does not definitively have an issue or need an agent’s assistance.                        3.Outages (no call from customer), Node health and Errors: A customer doesn’t notice all errors or outages that impact service",Customer,Customer Service,CXA,Bryan Kelly,Bryan Kelly,Sam Hopkins,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/14583784277/1/f_112632493924,,,"Repair ITG's, Repair Calls,Outages, Repair Trucks, Device Restarts, Speed Tests, Self Service Repair,Customer Reliability.",,,,
15,2017 CX Dashboard Metrics:Customer Truck View,The objective is to measure the overall truck experience from the customer point of view usingthe various components of a truck interaction. ,"Its better to have no trucks at all, however when a truck is needed it can be an opportunity to showcase good service. A well executed truckmight actually increase rNPS.",Customer,Customer Service,CXA,Bryan Kelly,Bryan Kelly,Sam Hopkins,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/14583784277/1/f_112632493924,,,"Customer, Truck, ATTR, ATTI,Calls, Fix Code,rNPS",,,,
16,NPS System Effectiveness: Analysis 2nd and 3rd  Callback attempts is optimal.,The Objective is to know how many Callback attempts is optimal.,"Success Rate by attempt – 1st – 44%, 2nd – 27%, 3rd – 17% (Overall 53%)                       Limiting 2nd and 3rd calls while increasing 1st calls has the potential to improve the efficiency of the callback program",NPS,Callback,CXA,Bryan Kelly,Bryan Lucas,Bryan Kelly,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/16076335445/1/f_124230106409,,,"Repeated Callback Attempts, NPS, NPS Effectiveness 2nd Callback, 3rd Callback, Callback Efficiency",US922229,,,
17,NPS Deployment Dashboard Non-Deployed Count, The Objective is to see how many agents deployed or left to be deployed at a location in the utilization dashboard.,A  query to find out the non deployed agents count across locations.                               Refined problems with inaccurate mapping data,NPS,eNPS,CXA,Bryan Lucas,Bryan Lucas,Akash Allumuneni,Akash Allumuneni,Bryan Lucas,Bryan Lucas,,https://comcast.app.box.com/files/0/f/15384918944/1/f_116470201532,28-12-2016,,"Deployed, Non Deployed Count of Agents, Utilization, NPS, NPS Deployment",US789657,,"WITH deployed AS ( SELECT i.date_key ,l.division ,l.region ,h.w ork_location ,i.k_comcast_global_channel_name AS channel ,COUNT(*) AS cnt FROM dw _audit..medallia_enps_invites AS i LEFT JOIN cxa_reporting.nzuser.v_national_hierarchy AS h
ON i.a_unit_identifier = h.nt_login LEFT JOIN  dw _etl..nps_deployment_location AS l ON h.w ork_location = l.w ork_location_code AND h.sap_division = l.division WHERE i.date_key = (select max(date_key )from dw _audit..medallia_enps_invites ) GROUP BY i.date_key ,l.division ,l.region ,h.w ork_location ,i.k_comcast_global_channel_name )
,all_emp AS ( SELECT l.division ,l.region ,h.w ork_location ,j.channel ,COUNT(*) AS cnt FROM cxa_reporting.nzuser.v_national_hierarchyAS h LEFT JOIN  dw _etl..nps_deployment_location AS l ON h.w ork_location = l.w ork_location_code AND h.sap_division = l.division LEFT JOIN dw _etl..enps_job_family_mapping AS j ON LOWER(h.job_family) = j.job_family WHERE EMPL_STATUS_DESC = 'Active'
GROUP BY l.division ,l.region ,h.w ork_location ,j.channel )
SELECT d.date_key ,a.division ,a.region ,a.w ork_location ,a.channel ,case w hen NVL(a.cnt, 0) - NVL(d.cnt, 0) < 0 THEN 0 else   NVL(a.cnt, 0) - NVL(d.cnt, 0) end  AS non_deployed_cnt FROM all_emp AS a LEFT JOIN deployed AS d ON a.division = d.division AND a.region = d.region AND a.w ork_location = d.w ork_location AND a.channel = d.channel WHERE a.w ork_location IS NOT NULL

6 / 6




",NPS_Dash_Fact table
18,DVR Equipment and Provisioning-Analysis of NPS, The Objective is to understand the Product NPS by device types for X1 customers to take decisions and eliminate specific device types.,1.DVR models are likely to produce significantly lower NPS scores relative to othermodels                2.X1 users with a DVR are much more likely to show a better NPS than non-DVR X1 customers.                 3.No significant difference in NPS between X1 customers who are DVR Provisioned vs. those who are not provisioned.     4.DVR owners are almost 3 times as satisfied with their Comcast service as compared to those who do not have the service or the equipment,NPS,DVR,CXA,Taylor Lee,Mark Simms,Mark Simms,Mark Simms,Mark Simms,Taylor Lee,,https://comcast.app.box.com/files/0/f/13433525282/1/f_107323968663,08-12-2016,,"DVR Equipment, Provisioning, NPS,X1 Cusomters,DVR Provisioning,NPS by device, Device Types, X1, DVR",US822894,,,
19,Product Survey: Analysis - NPS of customers who run a self-service ITG vs. NPS of customers who don't in June, The Objective is to understand the NPS of HSD customers who ran a self-service ITG vs. those who didn't to know the potentail improvement of NPS if customers run a self-service ITG,"Customers who used the self-serviceITGs had a 5 point decrease in NPS.                      2.Two self-service ITGs -ITG 544 – CX Facing WiFi SSID and PW , ITG 536 – CF_HSD_ResetInternetDevice  were used by customers to troubleshoot HSD issues shows a  very substantial increase in NPS for those customers that used ITG 544.",NPS,ITG,CXA,Taylor Lee,Dean Bixler,Dean Bixler,Dean Bixler,Taylor Lee,Taylor Lee,,https://comcast.app.box.com/files/0/f/12021017256/US835363_-_NPS_of_customers_who_run_a_self-service_ITG_vs._NPS_of_customers_who_don't_in_June,09-11-2016,,"Self Service ITG,ITG 544,ITG 536, NPS, HSD, CX Facing Wifi SSID, PW,CF_HSD_Reset, LOB, rNPS",US835363,,,
20,NPS: Analysis- Speed Test rNPS Interactions,The Objective is to Investigate and identify the relationships between a customer’s speed test results and their rNPS scores.,"1.Customers achieving higher speed test results are generally more likely to be promoters.        2.A higher volume of surveys may improve the rNPS score
3.There is a strong concentration of speed test results in the lower speed groupings, but the highest single group was 120%",rNPS,Speed test,CXA,Bryan Kelly,Bryan Lucas,Bryan Kelly,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/7157664341/US662685_NPS_Analysis_Speedtest_rNPS_interactions,18-05-2016,,"Speed test, rNPS, rNPS by speed test, LOB, type of NPS, mbps",US662685,,,
21,CX Dashboard Analysis: Research Pros/Cons of Proposed Callback Metrics,The objective is to check the callback success rate,"Metrics-1.How many customers did we successfully call back (i.e., speak with) over All Attempts?                                        2.How many customers did we successfully call back (i.e., spoke with) over All Alerts1",Call back Metrics,"Alert Level, Attemp Level",CXA,Sam Hopkins,Sam Hopkins,Hanibal Hesson ,Sam Hopkins,Sam Hopkins,Sam Hopkins,,https://comcast.app.box.com/files/0/f/11757071614/US813194_Callback_Metrics_for_CX_Dashboard_Research,19-10-2016,,"Alert Level, Attemp Level, Call back Metrics, Callback Success Rate, Customer,",US813194,Needs more inputs to understand the observations,,
22,NPS Customer Perception Dashboard: Add four additional components,"The objective is to  add 4 payment journey metrics to the report. 
",1.Decrease in the Customers who had issue in understanding the bill2. Overall Journey with ,NPS,Payment Journey Metrics,CXA,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,,https://comcast.app.box.com/files/0/f/11385716072/1/f_95466055306,20-09-2016,,"Billing Journey tNPS,% Trouble Understanding Bill, Trouble Paying Your Bill",US776013,,,
23,NPS Repair: Analysis - SPIKE - Understand% of Time a Customer's Issue Goes fromRepair to Billing as part of their OverallInteraction with Comcast, The objective to understand how an often an issue reported by a customer transitions from Repair to Billing to understand potential loss in methodology currently being developed for the KPI,"Using Raw Utterance (Smart Connect)-Smart Connect shows only 10.91% of the incidents that begin with a Service call type have a follow-up call. Of those, only 3.82% are for a Billing issue.   2.with the IVR data, more than 62% of the follow-up calls are Billing.",NPS,Billing,CXA,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,,https://comcast.app.box.com/files/0/f/5975098261/1/f_48568251285,04-01-2016,,"IVR,Raw Utterance,Follow up Call,Repair, Billing, Smart Connect, Raw Utterance, Service Call",US591753,,,
24,NPS: Repair Analysis Billing ITG andRepair Fees Credits Analysis, The objective is to understand what agents are logging into Einstein to see if we can Clean information and to see if we can find a subset of accounts that can feed into Nexidia for a more pointed future analysis in the calls.,The Problem / Solution code analysis suggests Bill Education is the main solution to Billing Inquiries.,NPS,Repair,CXA,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,,https://comcast.app.box.com/files/0/f/5913141993/1/f_48028581149,28-12-2015,,"EMS, MOVER, NED,CIR emails, onboarding team, Einstein, Nexidia, Problem Solution Code, Billing Inquiries, NPS,",US606342,Needs more inputs to understand the observations,,
25,Business Review (Chronic),"The objective is to analyse the impact of Chronic call reduction on NPS and Cost savings by comparing the trends
","1.Annual Chronics are steadily declining since Nov’15, with 31% fewer Chronics in Oct’16                2.Chronic reductions saved an average of $8.5 M per month ($94 M October YTD)                               3.Chronic accounts impacted rNPS by 0.37 points (comparing All Customer rNPS to Non-Chronic rNPS) on average, Nov ‘15 through Sep ’16.",Chronic,IVR Agent Calls,CXA,Taylor Lee,Taylor Lee,Taylor Lee,Taylor Lee,Taylor Lee,Taylor Lee,,https://comcast.app.box.com/files/0/f/14367494928/1/f_111611806858,14-12-2016,,"Delinquent, Non Deliquent, Chronic Customers, YoY Chronic Comparison,Chronic Reduction Impact,Chronic Calls,Calls by Queue,Cost Savings,Chronic accounts negatively impact,Enterprise Chronic Trend: Daily, Monthly and Annuall,
YoY Chronic Comparison by Division,
YoY Chronic Distribution by # of Calls Mad,
Chronic Calls and % of All Calls by Queue,
Cost Savings by reducing Chronic Call,
Chronic Reduction Impact on rNPs,
YoY Chronic Comparison by Tenure and Non-Pay Status",,,,
26, Analyze impact of special delinquent routing in Central,The objective is  to understand the Why for the recent volatility in the CX Dashboard Chronic trend,"The prevailing theory is that it's due to the impact of Central routing the delinquent callers to a specialized group ofagents. The belief is that this group of agents will all give a consistent answer; thereby, eliminating the ""agentshopping"" behavior of some delinquent callers. However, since the program was implemented, Chronics spiked up.This is counter-intuitive",Chronic,IVR Agent Calls,CXA,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,Sam Hopkins,,https://comcast.app.box.com/files/0/f/7913839925/1/f_65283441297,18-04-2016,,"Analyze impact of special delinquent routing in Central,agent shopping, IVR Switch data to find ANS Logons,
The belief is that this group of agents will all give a consistent answer; thereby, eliminating the ""agent shopping"" behavior of some delinquent caller",US677859 ,,"select isc.region  5         , dd.cal_week_end_dt  6         , dd.week_num  7         , case when isc.non_pay_flag is null then 'N' else 'Y' end Delinq_Flg  8         , count(distinct case when isc.region = 'Heartland' and dd.cal_date between '2016-03-26' and '2016-04-13' t hen isc.das_session  9                         when isc.region = 'Florida' and dd.cal_date >= '2016-03-05' then isc.das_session 10                         when isc.region = 'Big South' and dd.cal_date >= '2016-01-01' then isc.das_session end) Dur ing_Routing_Chg 11         , count(distinct case when isc.region = 'Heartland' and dd.cal_date < '2016-03-26' then isc.das_session 12                         when isc.region = 'Florida' and dd.cal_date < '2016-03-05' then isc.das_session 13                         when isc.region = 'Big South' and dd.cal_date < '2016-01-01' then isc.das_session end) Befo re_Routing_Chg 14         , count(distinct case when isc.region = 'Heartland' and dd.cal_date >= '2016-04-14' then isc.das_session en d) After_Routing_Chg 15         , count(distinct isc.das_session) Total_Calls 16 from DW_AUDIT.NZUSER.IVR_SWITCH_COMBINE isc 17         inner join dw_audit..einstein_account_loads eal 18                 on isc.account_number = eal.account_number 19         inner join dw_pres..date_dim dd 20                 on isc.date_key = dd.date_key 21 Where isc.Division = 'Central' 22                 and substr(eal.user_id,1,3) not like 'BP-%' 23                 and isc.queue = 'Billing' --SJH: No pattern noticed on overall items 24                 and dd.cal_date between '2015-12-01' and current_date 25 --              and isc.region = 'Florida' 26 group by 1, 2, 3, 4",
